SE_LTibX,SE_RTibX,SE_PelvisX,SE_ThorX,
0.81,0.65,0.76,0.54,
0.79,0.75,0.39,0.17,
0.53,0.68,0.55,0.22,
0.55,0.56,0.20,0.19,
0.68,0.57,1.01,0.30,
0.69,0.80,0.21,0.16,
0.63,0.71,1.26,0.50,
0.73,0.82,0.24,0.65,
0.89,0.84,0.72,0.54,
0.80,0.74,0.64,0.40,
0.45,0.51,0.43,0.74,
0.50,0.64,1.28,0.57,
0.53,0.50,0.70,0.37,
0.56,0.60,1.15,0.55,
0.64,0.49,0.40,0.73,
0.45,9.65,0.60,13.44,
0.66,13.72,0.72,13.57,
0.73,0.58,0.55,0.35,
0.61,0.78,0.39,0.22,
0.47,0.62,0.57,0.31,
0.53,0.51,0.20,0.24,
0.81,0.69,0.86,0.28,
0.67,0.72,0.21,0.16,
0.61,0.53,1.38,0.59,
0.69,0.63,0.30,0.68,
0.85,0.85,0.57,0.41,
0.67,0.68,0.66,0.34,
0.40,0.52,0.64,0.80,
0.53,0.69,1.28,0.42,
0.45,0.42,0.76,0.39,
0.56,0.61,1.25,0.52,
0.67,0.53,0.40,0.49,
0.54,11.19,0.73,15.00,
0.67,13.39,0.76,13.67,
